id,lang,path,sr,text
12,en,eno/12.wav,16000,THE BABY, A CHERUBIC AND SMILING LITTLE GIRL WITH ROSY CHEEKS AND TWINKLING EYES, GIGGLED AND COOED AS SHE PLAYED WITH HER TOYS ON THE FLOOR.
13,en,eno/13.wav,16000,THE COFFEE, A RICH AND AROMATIC BLEND OF DARK BEANS, FILLED THE ROOM WITH ITS HEADY AROMA AND WARMED THE HEARTS OF ALL WHO DRANK IT. 
14,en,eno/14.wav,16000,THE AIRPLANE, A SLEEK AND POWERFUL MACHINE CAPABLE OF SOARING TO DIZZYING HEIGHTS AND CROSSING VAST DISTANCES IN MERE HOURS, FLEW EFFORTLESSLY OVER THE ENDLESS EXPANSE OF THE OCEAN BELOW. 
15,en,eno/15.wav,16000,AS THE FIRE CRACKLED AND POPPED IN THE FIREPLACE, THE WARMTH AND COMFORT IT PROVIDED CHASED AWAY THE CHILL OF THE WINTER NIGHT OUTSIDE. 
16,en,eno/16.wav,16000,THE CHILDREN, A BOISTEROUS AND PLAYFUL GROUP OF FRIENDS, CHASED EACH OTHER AROUND THE PARK, LAUGHING AND SHOUTING WITH GLEE. 
17,en,eno/17.wav,16000,AS THE WIND HOWLED THROUGH THE TREES, THE LEAVES RUSTLED AND THE BRANCHES CREAKED, CREATING AN EERIE SYMPHONY THAT ECHOED THROUGH THE FOREST. 
18,en,eno/18.wav,16000,THE MOVIE, A SUSPENSEFUL AND THRILLING TALE OF DANGER AND INTRIGUE, KEPT THE AUDIENCE ON THE EDGE OF THEIR SEATS FROM BEGINNING TO END. 
19,en,eno/19.wav,16000,THE RESTAURANT, A COZY AND WELCOMING ITALIAN EATERY WITH A MENU FULL OF DELICIOUS AND AUTHENTIC DISHES, DREW DINERS FROM FAR AND WIDE TO SAVOR ITS CULINARY DELIGHTS. 
20,en,eno/20.wav,16000,AS THE OCEAN WAVES CRASHED AGAINST THE SHORE, THEIR RHYTHMIC ROAR CREATED A SOOTHING AND MESMERIZING SOUND THAT WASHED AWAY ALL CARES AND WORRIES. 
21,en,eno/21.wav,16000,THE BOOK, A FASCINATING AND INFORMATIVE TOME FILLED WITH INTERESTING FACTS AND STORIES, KEPT READERS CAPTIVATED FOR HOURS ON END. 
22,en,eno/22.wav,16000,AS THE RAIN FELL SOFTLY ON THE ROOF OF THE HOUSE, ITS GENTLE PITTER-PATTER PROVIDED A SOOTHING AND COMFORTING BACKGROUND TO THE DAY'S ACTIVITIES. 
23,en,eno/23.wav,16000,THE CONCERT, A LOUD AND ENERGETIC SHOWCASE OF MUSIC AND PERFORMANCE, HAD THE CROWD DANCING AND SINGING ALONG TO EVERY BEAT. 
24,en,eno/24.wav,16000,AS THE PARTYGOERS STREAMED INTO THE ROOM, THE MUSIC BLARING AND THE DRINKS FLOWING, THE ATMOSPHERE WAS ELECTRIC WITH EXCITEMENT AND ANTICIPATION. 
25,en,eno/25.wav,16000,THE BIRDS, A CHORUS OF FEATHERED SINGERS WITH AN ENDLESS REPERTOIRE OF TRILLS AND CHIRPS, WELCOMED THE DAWN WITH THEIR SWEET MELODIES. 
26,en,eno/26.wav,16000,WITH EVERY KICK AND PASS, THE SOCCER GAME GREW MORE INTENSE, EACH TEAM STRIVING TO OUTDO THE OTHER IN SKILL AND STRATEGY. 
27,en,eno/27.wav,16000,THE BRIDGE, A TOWERING AND MAJESTIC STRUCTURE OF STEEL AND CONCRETE, SPANNED THE RIVER BELOW WITH EASE AND GRACE, A TESTAMENT TO HUMAN INGENUITY AND ENGINEERING PROWESS. 
28,en,eno/28.wav,16000,THE CHOIR, A GROUP OF ANGELIC SINGERS WITH VOICES THAT SOARED TO THE HEAVENS, LIFTED THE SPIRITS OF ALL WHO HEARD THEM WITH THEIR BEAUTIFUL HYMNS AND ANTHEMS. 
29,en,eno/29.wav,16000,THE ARTIST, A MASTER OF COLOR AND COMPOSITION, PAINTED A VIBRANT AND VIVID LANDSCAPE THAT CAPTURED THE ESSENCE OF THE WORLD AROUND US IN ALL ITS BEAUTY AND COMPLEXITY. 
30,en,eno/30.wav,16000,THE THUNDERSTORM, A POWERFUL AND AWE-INSPIRING DISPLAY OF NATURE'S FURY, LIT UP THE SKY WITH BRIGHT FLASHES OF LIGHTNING AND BOOMED WITH DEEP ROLLS OF THUNDER THAT SHOOK THE EARTH. 
